Disease	Gene	Category
Alzheimer	LOC100129500	Neurological
Alzheimer	LOC101928519	Neurological
Alzheimer	LOC105373605	Neurological
Alzheimer	LOC257396	Neurological
Alzheimer	LOC390956	Neurological
Alzheimer	LOC390958	Neurological
Alzheimer	Luzp2	Neurological
Alzheimer	Macrod2	Neurological
Alzheimer	Map4k4	Neurological
Alzheimer	Mapk7	Neurological
Alzheimer	Mapt	Neurological
Alzheimer	Mark4	Neurological
Alzheimer	Mef2c	Neurological
Alzheimer	Megf10	Neurological
Alzheimer	Mir142	Neurological
Alzheimer	MIR302F	Neurological
Alzheimer	MIR4432	Neurological
Alzheimer	MIR548AB	Neurological
Alzheimer	MIR5582	Neurological
Alzheimer	Mki67	Neurological
Alzheimer	Map3k21	Neurological
Alzheimer	Mmp3	Neurological
Alzheimer	Mobp	Neurological
Alzheimer	Mpzl1	Neurological
Alzheimer	MS4	Neurological
Alzheimer	MS4A	Neurological
Alzheimer	Ms4a2	Neurological
Alzheimer	Ms4a3	Neurological
Alzheimer	Ms4a4d	Neurological
Alzheimer	Ms4a6d	Neurological
Alzheimer	Msra	Neurological
Alzheimer	Mthfd1l	Neurological
Alzheimer	Myo16	Neurological
Alzheimer	Nars2	Neurological
Alzheimer	Nckap5	Neurological
Alzheimer	Ncs1	Neurological
Alzheimer	NCTIN2	Neurological
Alzheimer	Ndufaf6	Neurological
Alzheimer	Negr1	Neurological
Alzheimer	Nfib	Neurological
Alzheimer	Nfic	Neurological
Alzheimer	Nhlrc3	Neurological
Alzheimer	Nkain2	Neurological
Alzheimer	Nme8	Neurological
Alzheimer	Npvf	Neurological
Alzheimer	Nr3c2	Neurological
Alzheimer	Nrsn1	Neurological
Alzheimer	Oard1	Neurological
Alzheimer	OFCC1	Neurological
Alzheimer	OR4S1	Neurological
Alzheimer	Osbpl6	Neurological
Alzheimer	Osbpl7	Neurological
Alzheimer	Parvb	Neurological
Alzheimer	Pax2	Neurological
Alzheimer	Pax5	Neurological
Alzheimer	Pcdh11x	Neurological
Alzheimer	Pcdh7	Neurological
Alzheimer	Pcnx	Neurological
Alzheimer	Pcsk5	Neurological
Alzheimer	Pde1a	Neurological
Alzheimer	Pde7b	Neurological
Alzheimer	Pex6	Neurological
Alzheimer	Pfdn1	Neurological
Alzheimer	PGAM5P1	Neurological
Alzheimer	PGBD3P4	Neurological
Alzheimer	Picalm	Neurological
Alzheimer	Pik3r1	Neurological
Alzheimer	Pknox2	Neurological
Alzheimer	Plcg2	Neurological
Alzheimer	Plekhg1	Neurological
Alzheimer	PMS2CL	Neurological
Multiple sclerosis	Abi3bp	Neurological
Multiple sclerosis	Acp5	Neurological
Multiple sclerosis	Adcy3	Neurological
Multiple sclerosis	Aff1	Neurological
Multiple sclerosis	Agap2	Neurological
Multiple sclerosis	Agbl2	Neurological
Multiple sclerosis	Ahi1	Neurological
Multiple sclerosis	AK127238	Neurological
Multiple sclerosis	Akap13	Neurological
Multiple sclerosis	Aldh1l1	Neurological
Multiple sclerosis	Alpk2	Neurological
Multiple sclerosis	ANKRD36BP2	Neurological
Multiple sclerosis	Ankrd55	Neurological
Multiple sclerosis	Apoa5	Neurological
Multiple sclerosis	Arhgap26	Neurological
Multiple sclerosis	Arhgef10	Neurological
Multiple sclerosis	Arhgef3	Neurological
Multiple sclerosis	Arl11	Neurological
Multiple sclerosis	Asap1	Neurological
Multiple sclerosis	Asf1a	Neurological
Multiple sclerosis	Atf1	Neurological
Multiple sclerosis	Atp6v1g3	Neurological
Multiple sclerosis	Atxn1	Neurological
Multiple sclerosis	B4galt5	Neurological
Multiple sclerosis	Bach2	Neurological
Multiple sclerosis	Bak1	Neurological
Multiple sclerosis	Batf	Neurological
Multiple sclerosis	Batf3	Neurological
Multiple sclerosis	Bcas1	Neurological
Multiple sclerosis	Bcl10	Neurological
Multiple sclerosis	Bcl2	Neurological
Multiple sclerosis	Bcl2l11	Neurological
Multiple sclerosis	Bcl6	Neurological
Multiple sclerosis	Bcl9l	Neurological
Multiple sclerosis	Bhlhe40	Neurological
Multiple sclerosis	Btnl2	Neurological
Multiple sclerosis	C10ORF204	Neurological
Multiple sclerosis	C10orf55	Neurological
Multiple sclerosis	Zfhx3	Neurological
Multiple sclerosis	C1galt1	Neurological
Multiple sclerosis	Inava	Neurological
Multiple sclerosis	Axdnd1	Neurological
Multiple sclerosis	2410004B18Rik	Neurological
Multiple sclerosis	Tmem74b	Neurological
Multiple sclerosis	Timmdc1	Neurological
Multiple sclerosis	Fam241a	Neurological
Multiple sclerosis	IRF1-AS1	Neurological
Multiple sclerosis	BC051142	Neurological
