Disease	Gene	Category
Multiple sclerosis	Zbtb46	Neurological
Multiple sclerosis	Zbtb7b	Neurological
Multiple sclerosis	Zc2hc1a	Neurological
Multiple sclerosis	Zc3hav1	Neurological
Multiple sclerosis	Zfp36l1	Neurological
Multiple sclerosis	Zhx3	Neurological
Multiple sclerosis	Zic1	Neurological
Multiple sclerosis	Zmiz1	Neurological
Multiple sclerosis	Zfp217	Neurological
Multiple sclerosis	Zfp365	Neurological
Multiple sclerosis	ZNF433	Neurological
Multiple sclerosis	Zfp438	Neurological
Multiple sclerosis	Zfp652	Neurological
Multiple sclerosis	ZNF767P	Neurological
Multiple sclerosis	Znhit3	Neurological
Multiple sclerosis	Zpld1	Neurological
Multiple sclerosis	43891	Neurological
Multiple sclerosis	Kif21b	Neurological
Multiple sclerosis	Tmem39a	Neurological
Multiple sclerosis	Ctla4	Neurological
Multiple sclerosis	Mettl1	Neurological
Multiple sclerosis	Aplf	Neurological
Multiple sclerosis	HLA-DRB	Neurological
Multiple sclerosis	1110032F04Rik	Neurological
Multiple sclerosis	Rbm17	Neurological
Multiple sclerosis	Pkia	Neurological
Multiple sclerosis	Tbx21	Neurological
Multiple sclerosis	Kl	Neurological
Multiple sclerosis	LOC100132735	Neurological
Multiple sclerosis	Borcs8	Neurological
Multiple sclerosis	Trib2	Neurological
Multiple sclerosis	Itga4	Neurological
Multiple sclerosis	Klhl32	Neurological
Multiple sclerosis	Sco2	Neurological
Multiple sclerosis	Tg	Neurological
Multiple sclerosis	Dleu7	Neurological
Multiple sclerosis	Fndc1	Neurological
Multiple sclerosis	Ptprk	Neurological
Multiple sclerosis	Prm3	Neurological
Multiple sclerosis	Slamf6	Neurological
Multiple sclerosis	Lpin3	Neurological
Multiple sclerosis	Zfp746	Neurological
Multiple sclerosis	Tbkbp1	Neurological
Multiple sclerosis	Prm2	Neurological
Parkinson	Aak1	Neurological
Parkinson	Acmsd	Neurological
Parkinson	Alas1	Neurological
Parkinson	Ank2	Neurological
Parkinson	Anxa1	Neurological
Parkinson	Apoe	Neurological
Parkinson	Arhgap27	Neurological
Parkinson	Asxl3	Neurological
Parkinson	Atf6	Neurological
Parkinson	Dph6	Neurological
Parkinson	Bag3	Neurological
Parkinson	Barx1	Neurological
Parkinson	Bckdk	Neurological
Parkinson	Bin3	Neurological
Parkinson	Bmp4	Neurological
Parkinson	Stap1	Neurological
Parkinson	Brip1	Neurological
Parkinson	Bst1	Neurological
Parkinson	Ctc1	Neurological
Parkinson	Ldlrad4	Neurological
Parkinson	Ism1	Neurological
Parkinson	4930452B06Rik	Neurological
Parkinson	ODAPH	Neurological
Parkinson	B230219D22Rik	Neurological
Parkinson	Tcim	Neurological
Parkinson	Car8	Neurological
Parkinson	Cab39l	Neurological
Parkinson	CAMK2D	Neurological
Parkinson	CASC16	Neurological
Parkinson	Ccdc62	Neurological
Parkinson	Ccdc82	Neurological
Parkinson	Cd19	Neurological
Parkinson	Chd9	Neurological
Parkinson	Chl1	Neurological
Parkinson	Chrnb1	Neurological
Parkinson	Clcn3	Neurological
Parkinson	Clrn3	Neurological
Parkinson	Cnksr3	Neurological
Parkinson	Cntn1	Neurological
Parkinson	Col13a1	Neurological
Parkinson	Col5a2	Neurological
Parkinson	Coq7	Neurological
Parkinson	Crhr1	Neurological
Parkinson	Crls1	Neurological
Parkinson	Ctnnd1	Neurological
Parkinson	Ctsb	Neurological
Parkinson	Cyp1b1	Neurological
Parkinson	Daam1	Neurological
Parkinson	BRINP1 /// CCAR2	Neurological
Parkinson	Dcun1d1	Neurological
Parkinson	Ddrgk1	Neurological
Parkinson	Dgkq	Neurological
Parkinson	DIRC1	Neurological
Parkinson	Dlg2	Neurological
Parkinson	Dmrt2	Neurological
Parkinson	Dnah17	Neurological
Parkinson	Dsg3	Neurological
Parkinson	Dyrk1a	Neurological
Parkinson	Elovl7	Neurological
Parkinson	Ercc6l2	Neurological
Parkinson	Fam126a	Neurological
Parkinson	Fam171a1	Neurological
Parkinson	Fam171a2	Neurological
Parkinson	FAM200B	Neurological
Parkinson	Fam47e	Neurological
Parkinson	FAM49B	Neurological
Parkinson	Fbrsl1	Neurological
Parkinson	Fcgr2b	Neurological
Parkinson	Fgd4	Neurological
Parkinson	Fgf10	Neurological
Parkinson	Fgf20	Neurological
Parkinson	Tmem212	Neurological
Parkinson	FLJ35379	Neurological
Parkinson	Mroh5	Neurological
Parkinson	Fyn	Neurological
Parkinson	Gak	Neurological
Parkinson	Galc	Neurological
Parkinson	Gba	Neurological
Parkinson	GBAP1	Neurological
Parkinson	Gbf1	Neurological
Parkinson	Gch1	Neurological
Parkinson	Gpnmb	Neurological
Parkinson	Gprin3	Neurological
Parkinson	GS1-124K5.11	Neurological
Parkinson	Gxylt1	Neurological
Parkinson	Hip1r	Neurological
Parkinson	HLA	Neurological
Parkinson	HLA-DQA1	Neurological
Parkinson	H2-Ab1	Neurological
Parkinson	H2-Ea	Neurological
Parkinson	H2-Eb2	Neurological
Parkinson	HLA-DRB6	Neurological
Parkinson	Hsd17b1	Neurological
Parkinson	Htr2a	Neurological
Parkinson	HUSEYO	Neurological
Parkinson	Igsf9b	Neurological
Parkinson	Il1r2	Neurological
Parkinson	Inpp5f	Neurological
Parkinson	Ip6k2	Neurological
Parkinson	Itga8	Neurological
Parkinson	Itpkb	Neurological
Parkinson	Kansl1	Neurological
Parkinson	Kcnip3	Neurological
Parkinson	Kcnip4	Neurological
Parkinson	Kcns3	Neurological
Parkinson	Klhdc1	Neurological
Parkinson	Klhl7	Neurological
Parkinson	Kpna1	Neurological
Parkinson	Krtcap2	Neurological
Parkinson	Lcorl	Neurological
Parkinson	Lhfpl2	Neurological
Parkinson	LINC00693	Neurological
Parkinson	Lmnb1	Neurological
Parkinson	LOC100131289	Neurological
Parkinson	TUSC7	Neurological
Parkinson	LOC642072	Neurological
Parkinson	Plppr1	Neurological
Parkinson	Lrrk2	Neurological
Parkinson	Lsm7	Neurological
Parkinson	Map3k14	Neurological
Parkinson	Map4k4	Neurological
Parkinson	Mapt	Neurological
Parkinson	MAPT-AS1	Neurological
Parkinson	Mbnl2	Neurological
Parkinson	Mccc1	Neurological
Parkinson	Mdga2	Neurological
Parkinson	Med12l	Neurological
Parkinson	Mex3c	Neurological
Parkinson	Micu3	Neurological
Parkinson	Mipol1	Neurological
Parkinson	MIR4697	Neurological
Parkinson	Mmrn1	Neurological
Parkinson	MX2	Neurological
Parkinson	Nckipsd	Neurological
Parkinson	Ndufaf2	Neurological
Parkinson	Nod2	Neurological
Parkinson	Nsf	Neurological
Parkinson	Nucks1	Neurological
Parkinson	Oca2	Neurological
Parkinson	Ogfod2	Neurological
Parkinson	Pabpn1l	Neurological
Parkinson	Pam	Neurological
Parkinson	Paqr3	Neurological
Parkinson	PARK16	Neurological
Parkinson	Prkn	Neurological
Parkinson	Pde10a	Neurological
Parkinson	Pkp2	Neurological
Parkinson	PLEKHN1	Neurological
Parkinson	Pmvk	Neurological
Parkinson	Prss53	Neurological
Parkinson	Prdm15	Neurological
Parkinson	Prdm2	Neurological
Parkinson	Prickle1	Neurological
Parkinson	Qser1	Neurological
Parkinson	Rab29	Neurological
Parkinson	Retreg3	Neurological
Parkinson	Rims1	Neurological
Parkinson	Rit2	Neurological
Parkinson	Rnf141	Neurological
Parkinson	Rps12	Neurological
Parkinson	Rps6kl1	Neurological
Parkinson	Satb1	Neurological
Parkinson	Scaf11	Neurological
Parkinson	Scarb2	Neurological
Parkinson	Scn3a	Neurological
Parkinson	Sema4a	Neurological
Parkinson	Sema5a	Neurological
Parkinson	SETD1A	Neurological
Parkinson	Sfxn2	Neurological
Parkinson	Sh3gl2	Neurological
Parkinson	Sipa1l2	Neurological
Parkinson	Slc2a13	Neurological
Parkinson	Slc41a1	Neurological
Parkinson	Slc44a4	Neurological
Parkinson	Slc45a3	Neurological
Parkinson	Snca	Neurological
Parkinson	Sorbs3	Neurological
Parkinson	Sp1	Neurological
Parkinson	Sppl2b	Neurological
Parkinson	Sptssb	Neurological
Parkinson	Srebf1	Neurological
Parkinson	Stbd1	Neurological
Parkinson	Stk39	Neurological
Parkinson	Sv2c	Neurological
Parkinson	Syt11	Neurological
Parkinson	Syt17	Neurological
Parkinson	Syt4	Neurological
Parkinson	Tas1r2	Neurological
Parkinson	Tceanc2	Neurological
Parkinson	Tial1	Neurological
Parkinson	Tmc3	Neurological
Parkinson	Tmem163	Neurological
Parkinson	Tmem175	Neurological
Parkinson	Tmem229b	Neurological
Parkinson	Tox3	Neurological
Parkinson	Tpm1	Neurological
Parkinson	Trim40	Neurological
Parkinson	Trps1	Neurological
Parkinson	TSG1	Neurological
Parkinson	Ubap2	Neurological
Parkinson	Ubtf	Neurological
Parkinson	Unc13b	Neurological
Parkinson	Usp25	Neurological
Parkinson	Vamp4	Neurological
Parkinson	Vps13c	Neurological
Parkinson	Wnt3	Neurological
Parkinson	Wnt9a	Neurological
Parkinson	Zfp64	Neurological
Parkinson	ZNF184	Neurological
Parkinson	ZNF396	Neurological
Parkinson	Zfp608	Neurological
Parkinson	Zfp646	Neurological
Parkinson	Zp3	Neurological
Parkinson	Tlr9	Neurological
Parkinson	LOC100130911	Neurological
Parkinson	LOC100288892	Neurological
Parkinson	Ptpdc1	Neurological
Parkinson	Stx1b	Neurological
Parkinson	Cd38	Neurological
Parkinson	LOC339902	Neurological
Parkinson	Lrrc37a	Neurological
Parkinson	Olfr1500	Neurological
Parkinson	CYP1B1-AS1	Neurological
Parkinson	Col3a1	Neurological
Parkinson	LOC100130985	Neurological
Parkinson	Smarca2	Neurological
Parkinson	LINC00476	Neurological
Parkinson	Mrps30	Neurological
Parkinson	Fndc3b	Neurological
Parkinson	LOC100132423	Neurological
Parkinson	LINC00051	Neurological
Parkinson	GLU	Neurological
Parkinson	Nupl2	Neurological
Parkinson	Igsf11	Neurological
Parkinson	LINC02210	Neurological
Parkinson	Plekhm1	Neurological
Parkinson	STH	Neurological
Parkinson	LAMP3	Neurological
Parkinson	CDC71	Neurological
Parkinson	NAA11	Neurological
Parkinson	Syt10	Neurological
Parkinson	Kazn	Neurological
Parkinson	Adamts20	Neurological
Parkinson	Prrg4	Neurological
Parkinson	Borcs7	Neurological
Parkinson	Pdlim2	Neurological
Parkinson	Rai1	Neurological
Parkinson	Cers6	Neurological
Parkinson	CLEC19A	Neurological
Parkinson	Ldlrad1	Neurological
Parkinson	Ccnt2	Neurological
Parkinson	Manea	Neurological
Parkinson	LOC728728	Neurological
Parkinson	Tshz2	Neurological
Parkinson	H2bc7	Neurological
Parkinson	Ino80c	Neurological
Parkinson	Kat8	Neurological
Parkinson	Dnah1	Neurological
